source,target
Greg - human augmentation,Joel - Bicycles for the Mind
Greg - human augmentation,Julian - change the way we see tech
Greg - human augmentation,Julian - Shapes the way we think
Greg - human augmentation,Kevin - algo culture 1
Greg - human augmentation,Kevin - machines crash
Greg - human augmentation,Kevin - autonomous machines crash
Greg - human augmentation,Kevin - algo chess 1
Greg - human augmentation,Kevin - algo chess 2
Greg - human augmentation,Kevin - algo chess 3
Greg - human augmentation,Kevin - tracking rendition flights
Greg - human augmentation,Kevin - cognition vs computation 1
Greg - human augmentation,Kevin - algo culture 4
Greg - human augmentation,Marius - Machines change the way we see
Greg - human augmentation,Philip - its a tool
Greg - human augmentation,Ramsey - cloud 1
Greg - human augmentation,Joel - Bicycles1
Greg - human augmentation,Golan - MachineIntelligence
Greg - AI 1,Binx - technoutopian
Greg - AI 1,Bruce - Anthropomorphism
Greg - AI 1,Bruce - digital status quo
Greg - AI 1,Bruce - new aesthetic 1
Greg - AI 1,Bruce - new aesthetic artists
Greg - AI 1,Bruce - camera technician vs explorer
Greg - AI 1,Bruce - machines don't think 1
Greg - AI 1,Bruce - machines don't think 2
Greg - AI 1,JTNimoy - Comes from the human mind
Greg - AI 1,JTNimoy - based on human mind
Greg - AI 1,Kevin - algo chess 3
Greg - AI 1,Kevin - cognition vs computation 1
Greg - AI 1,Kyle_MC - Debug screen
Greg - AI 1,Kyle_MC - new aesthetic 1
Greg - AI 1,Kyle_MC - new aesthetic 2
Greg - AI 1,Kyle_MC - box on your face
Greg - AI 1,Kyle_MC - uncanny
Greg - AI 1,Marcus - Epic Games predictions
Greg - AI 1,Marius - artificial creativity
Greg - AI 1,Golan - MachineIntelligence
Greg - AI 1,Golan - Singularity
Greg - AI 2,Bruce - Anthropomorphism
Greg - AI 2,Kevin - algo culture 1
Greg - AI 2,Kevin - algo culture 2
Greg - AI 2,Kevin - autonomous machines crash
Greg - AI 2,Kevin - algo trading 4
Greg - AI 2,Kevin - algo stories 3
Greg - AI 2,Kyle_MC - Debug screen
Greg - AI 2,Kyle_MC - new aesthetic 2
Greg - AI 2,Kyle_MC - uncanny
Greg - AI 2,Marius - artificial creativity
Greg - AI 2,Martin - limits of computation
Greg - object oriented ontology 1,Kevin - algo culture 2
Greg - object oriented ontology 1,Marius - Machines change the way we see
Greg - object oriented ontology 1,Marius - new tools change perception
Greg - object oriented ontology 1,Philip - its a tool
Greg - object oriented ontology 1,Damion - OOO
Greg - object oriented ontology 3,Maeda - Slurpies and pizza
Greg - Object Oriented Ontology 2,Kevin - algo culture 2
Greg - Object Oriented Ontology 2,Marius - Machines change the way we see
Greg - Object Oriented Ontology 2,Marius - new tools change perception
Greg - Object Oriented Ontology 2,Philip - its a tool
Greg - Object Oriented Ontology 2,Damion - OOO
Greg - the "Like" button cascade,Aaron - digital trace
Greg - the "Like" button cascade,Fernanda - A social lens
Greg - the "Like" button cascade,Fernanda - Googe plus 2
Greg - the "Like" button cascade,Fernanda - live data
Greg - the "Like" button cascade,Jen - facebook data
Greg - the "Like" button cascade,Jer - Big Data Security
Greg - the "Like" button cascade,Jer - Data ownership
Greg - the "Like" button cascade,Julia - lives online
Greg - the "Like" button cascade,Julia - million facebook
Greg - the "Like" button cascade,Karsten - social collider
Greg - the "Like" button cascade,Lauren - politics of liking things
Greg - the "Like" button cascade,Lauren - how we communicate, shorter
Greg - the "Like" button cascade,Lauren - friendtracking 1
Greg - the "Like" button cascade,Patricio - Social skills
Greg - Trickle down,Joel - myth of art and technology
Greg - Trickle down,Karsten - parallel processing
Greg - Trickle down,Kevin - printing code
Greg - Trickle down,Kyle_MC - shaping the direction
Greg - Trickle down,Paola - Integrating with technology
Greg - engage with research,Binx - tool for others
Greg - engage with research,Golan - instruments
Greg - engage with research,Higa - simplicity of self made tools
Greg - engage with research,Julia - program or be programmed
Greg - engage with research,Julian - change the way we see tech
Greg - engage with research,Karsten - why don't we learn?
Greg - engage with research,Kyle_MC - Transparent tech 2
Greg - engage with research,Patricio - Making tools
Greg - engage with research,Philip - its a tool
Greg - engage with research,Ramsey - dystopia
Greg - engage with research,Elliot - ToolmakerArtist2
Greg - engage with research,Intro - Toolmaker
Greg - Sharpening spears,Julia - program or be programmed
Greg - Sharpening spears,Kyle_MC - Transparent tech 2
Greg - Creative Coder,Bruce - beauty of code 5
Greg - Creative Coder,Casey - sketching with code
Greg - Creative Coder,Higa - create a system 2
Greg - Creative Coder,Joel - myth of art and technology
Greg - Creative Coder,JTNimoy - thinking by doing
Greg - Creative Coder,Karsten - 256 bytes part 1
Greg - Creative Coder,Kyle_CH - history of computational art
Greg - Creative Coder,Kyle_CH - open source
Greg - Creative Coder,Kyle_CH - new generation
Greg - Creative Coder,Kyle_MC - code as a theme 1
Greg - Creative Coder,Kyle_MC - code as a theme 2
Greg - Creative Coder,Lauren - Beginning art and tech
Greg - Creative Coder,Maeda - not a big deal
Greg - Creative Coder,Ramsey - Ramsey Intro
Greg - Creative Coder,Ramsey - designing languages
Greg - Creative Coder,Damion - FrustratedArtists
Greg - Gaze tracking,Jer - Big Data Security
Greg - Gaze tracking,Jer - Data ownership
Greg - Gaze tracking,Julia - million facebook
Greg - Gaze tracking,Kyle_MC - People staring at screens 3
Greg - Gaze tracking,Kyle_MC - People staring at screens 4
Greg - Gaze tracking,Kyle_MC - eyetracking everywhere
Greg - Gaze tracking,Regine - future camera
Greg - community,Binx - skillshare
Greg - community,Binx - hybridity
Greg - community,Bruce - creative agglomeration
Greg - community,Jer - fireflies
Greg - cameras scaling up,Andres - Computational lens
Greg - cameras scaling up,Bruce - camera technician vs explorer
Greg - cameras scaling up,Bruce - camera of future 25 years
Greg - cameras scaling up,Bruce - future camera 5
Greg - cameras scaling up,Kyle_CH - RGBD
Greg - cameras scaling up,Kyle_MC - faceOSC 2
Greg - cameras scaling up,Kyle_MC - face algos
Greg - cameras scaling up,Kyle_MC - vision
Greg - cameras scaling up,Kyle_MC - Camera doesn't care if you're human
Greg - cameras scaling up,Regine - future camera
Greg - cameras scaling up,Elliot - Kinect
Greg - cameras scaling up,Intro - Interfaces
Greg - makematics1,Binx - Background
Greg - makematics1,Casey - randomness
Greg - makematics1,Jen - MathMajor 1
Greg - makematics1,Kyle_MC - Grab them ASAP
Greg - makematics1,Ramsey - arab abstraction 2
Greg - makematics1,Ramsey - algorithm comes from arabic
Greg - makematics1,Zach - Open Frameworks 3
Greg - makematics1,LIA - CircleFormula1
Greg - makematics1,LIA - VisualizeAnIdea
Higa - create a system,Shantell - drawing with the computer
Higa - create a system,Shantell - drawing with computers
Higa - create a system,Damion - FrustratedArtists
Higa - create a system 2,Casey - sketching with code
Higa - create a system 2,Greg - Creative Coder
Higa - create a system 2,JTNimoy - thinking by doing
Higa - create a system 2,Kevin - algo trading 1
Higa - create a system 2,Kyle_MC - code as a theme 1
Higa - create a system 2,Marius - constraining randomness
Higa - create a system 2,Marius - if it's not interesting I abandon it
Higa - create a system 2,Nervous_Jesse - organic process
Higa - create a system 2,Nervous_Jesse - our explorations are random
Higa - create a system 2,Nervous_Jesse - doing something new with a system
Higa - create a system 2,Paola - bach mozart coders
Higa - create a system 2,Ramsey - a hundred million
Higa - create a system 2,Shiffman - how far could we get?
Higa - create a system 2,Damion - FrustratedArtists
Higa - create a system 2,LIA - CircleFormula1
Higa - beginnings,Casey - Software is what i love the most
Higa - beginnings,Casey - Programming at 26
Higa - beginnings,JTNimoy - evolution
Higa - beginnings,JTNimoy - I addicted myself
Higa - beginnings,JTNimoy - Pickle
Higa - beginnings,Karsten - becoming insular
Higa - beginnings,Kevin - from code to magazines to code
Higa - beginnings,Kyle_CH - history of computational art
Higa - beginnings,Kyle_CH - fun accessible art
Higa - beginnings,Paola - changes the way you think
Higa - beginnings,Paola - code changes your thinking
Higa - beginnings,Patricio - CopyPaste
Higa - beginnings,Ramsey - independent of any human
Higa - beginnings,Ramsey - beauty of code
Higa - beginnings,Ramsey - complicated C++
Higa - beginnings,Shiffman - Maybe I'd like that
Higa - beginnings,Zach - action script
Higa - beginnings,Zach - programming 2
Higa - committed to community,Binx - learning
Higa - committed to community,Binx - learning with others
Higa - committed to community,Casey - Processing open
Higa - committed to community,Casey - group teaching
Higa - committed to community,Golan - Kyle
Higa - committed to community,Golan - pedagogical impulse
Higa - committed to community,Jer - spoken word
Higa - committed to community,Jer - Thanks
Higa - committed to community,Jer - Toxi: gurus
Higa - committed to community,Julia - community
Higa - committed to community,Julia - toward greater generosity 1
Higa - committed to community,Karsten - becoming insular
Higa - committed to community,Kyle_CH - new generation
Higa - committed to community,Lindsay - memes 2
Higa - committed to community,Maeda - Processing community
Higa - committed to community,Paola - sharing
Higa - committed to community,Shiffman - nature of code book
Higa - committed to community,Shiffman - sharing
Higa - committed to community,Zach - at a festival
Higa - committed to community,Zach - printshop
Higa - committed to community,Zach - Open Frameworks 1
Higa - committed to community,Zach - Open Frameworks 3
Higa - committed to community,Zach - emailing the communnity
Higa - committed to community,Zach - Open Frameworks 4
Higa - committed to community,Intro - Sharing
Higa - committed to community,LIA - helldotcom
Higa - not sharing its a backup,Aaron - sharing
Higa - not sharing its a backup,Andres - examples of the impossible
Higa - not sharing its a backup,Andres - sharing code
Higa - not sharing its a backup,Bruce - It's an old thing
Higa - not sharing its a backup,Bruce - Github Tarball
Higa - not sharing its a backup,Bruce - Dead sea scrolls
Higa - not sharing its a backup,Bruce - Fax machine
Higa - not sharing its a backup,Bruce - unstable mileau of media art
Higa - not sharing its a backup,Bruce - Computer art takes flight
Higa - not sharing its a backup,Casey - Processing open
Higa - not sharing its a backup,Casey - old media
Higa - not sharing its a backup,Casey - learning from precursors
Higa - not sharing its a backup,Golan - closed source mistake
Higa - not sharing its a backup,Golan - limits to sharing
Higa - not sharing its a backup,Golan - keeping you stuff working
Higa - not sharing its a backup,Golan - raytraced spheres
Higa - not sharing its a backup,Jer - Making a tool
Higa - not sharing its a backup,Jer - storage
Higa - not sharing its a backup,Jer - spoken word
Higa - not sharing its a backup,Jer - Software1
Higa - not sharing its a backup,Jer - Software2
Higa - not sharing its a backup,Jer - Post-capitalism
Higa - not sharing its a backup,Jer - post-capitalism2
Higa - not sharing its a backup,JTNimoy - evolution
Higa - not sharing its a backup,JTNimoy - based on human mind
Higa - not sharing its a backup,Julia - open source and ego
Higa - not sharing its a backup,Julia - can't be solitary
Higa - not sharing its a backup,Karsten - becoming insular
Higa - not sharing its a backup,Karsten - new media
Higa - not sharing its a backup,Karsten - obsolescence
Higa - not sharing its a backup,Karsten - archiving
Higa - not sharing its a backup,Karsten - preserving history
Higa - not sharing its a backup,Karsten - atari emulation
Higa - not sharing its a backup,Kevin - from code to magazines to code
Higa - not sharing its a backup,Kyle_CH - old server farms
Higa - not sharing its a backup,Lindsay - death of technology
Higa - not sharing its a backup,Maeda - do not resuscitate
Higa - not sharing its a backup,Maeda - New media
Higa - not sharing its a backup,Maeda - old and new
Higa - not sharing its a backup,Maeda - Processing community
Higa - not sharing its a backup,Marcus - economics question
Higa - not sharing its a backup,Paola - generosity
Higa - not sharing its a backup,Paola - Moma games
Higa - not sharing its a backup,Paola - museum collections
Higa - not sharing its a backup,Ramsey - cloud 2
Higa - not sharing its a backup,Ramsey - unmaintainable code
Higa - not sharing its a backup,Shiffman - sharing
Higa - not sharing its a backup,Shiffman - Open Source Contract
Higa - not sharing its a backup,Shiffman - what do you archive?
Higa - not sharing its a backup,Theo - eyebeam R&D
Higa - not sharing its a backup,Zach - decompiling
Higa - not sharing its a backup,Zach - Open Frameworks 1
Higa - not sharing its a backup,Zach - Joshua Davis
Higa - not sharing its a backup,Chris - EthicOfSharing
Higa - not sharing its a backup,Diederick - worldwillbecomebetter
Higa - not sharing its a backup,LIA - Sandcastles
Higa - not sharing its a backup,LIA - SkepticismAboutOpenSource
Higa - not sharing its a backup,LIA - VeryFirstArtworks
Higa - ,Aaron - sharing
Higa - ,Casey - Processing open
Higa - ,Golan - Kyle
Higa - ,Golan - closed source mistake
Higa - ,Golan - limits to sharing
Higa - ,Jer - Making a tool
Higa - ,Jer - Post-capitalism
Higa - ,Jer - post-capitalism2
Higa - ,Julia - open source and ego
Higa - ,Julia - can't be solitary
Higa - ,Karsten - becoming insular
Higa - ,Maeda - Processing community
Higa - ,Marcus - economics question
Higa - ,Paola - generosity
Higa - ,Shantell - luck
Higa - ,Shantell - sharing
Higa - ,Shantell - Sharing creates luck
Higa - ,Shiffman - sharing
Higa - ,Shiffman - Open Source Contract
Higa - ,Zach - decompiling
Higa - ,Zach - Open Frameworks 1
Higa - ,Chris - EthicOfSharing
Higa - ,Diederick - worldwillbecomebetter
Higa - ,LIA - Sandcastles
Higa - ,LIA - SkepticismAboutOpenSource
Higa - language barriers,Jen - hated computer science
Higa - language barriers,Karsten - programming is...
Higa - language barriers,Nervous_Jesse - Open source education
Higa - language barriers,Patricio - Rethinking education systems
Higa - language barriers,Ramsey - the curse of 60s tech
Higa - language barriers,Ramsey - complacency 1
Higa - language barriers,Ramsey - complacency 2
Higa - language barriers,Ramsey - traditional engineering
Higa - language barriers,Ramsey - dystopia
Higa - language barriers,Ramsey - google's business model 2
Higa - thick wall,Binx - skillshare
Higa - thick wall,Binx - learning
Higa - thick wall,Binx - learning with others
Higa - thick wall,Binx - hybridity
Higa - thick wall,Bruce - beauty of code 4
Higa - thick wall,Bruce - beauty of code 5
Higa - thick wall,Casey - Processing open
Higa - thick wall,Jen - hated computer science
Higa - thick wall,Jer - Desire to get together
Higa - thick wall,JTNimoy - open source mensch
Higa - thick wall,Karsten - becoming insular
Higa - thick wall,Karsten - always improved
Higa - thick wall,Karsten - 256 bytes part 1
Higa - thick wall,Karsten - programming is...
Higa - thick wall,Maeda - Processing community
Higa - thick wall,Nervous_Jesse - Open source education
Higa - thick wall,Paola - code ant farm
Higa - thick wall,Patricio - Rethinking education systems
Higa - thick wall,Ramsey - the curse of 60s tech
Higa - thick wall,Ramsey - complacency 1
Higa - thick wall,Ramsey - complacency 2
Higa - thick wall,Ramsey - traditional engineering
Higa - thick wall,Ramsey - dystopia
Higa - thick wall,Ramsey - google's business model 2
Higa - thick wall,Shiffman - sharing
Higa - thick wall,Shiffman - problem solving
Higa - thick wall,Zach - open source challenge
Higa - thick wall,Joel - Amiga500
Higa - only meets pure geeks,Binx - brogrammers
Higa - only meets pure geeks,Bruce - All of a sudden...
Higa - only meets pure geeks,Bruce - Tidepools
Higa - only meets pure geeks,Bruce - Geeks with style
Higa - only meets pure geeks,Golan - people like myself
Higa - only meets pure geeks,Golan - finding a community
Higa - only meets pure geeks,Jer - Desire to get together
Higa - only meets pure geeks,Jer - fireflies
Higa - only meets pure geeks,JTNimoy - I addicted myself
Higa - only meets pure geeks,JTNimoy - geek culture
Higa - only meets pure geeks,JTNimoy - Pickle
Higa - only meets pure geeks,Julia - community
Higa - only meets pure geeks,Kyle_MC - they all wear the same glasses
Higa - only meets pure geeks,Lauren - desire to get together
Higa - only meets pure geeks,Lauren - Hack my way out
Higa - only meets pure geeks,Lindsay - memes 2
Higa - only meets pure geeks,Marcus - community styles
Higa - only meets pure geeks,Marcus - new tricks
Higa - only meets pure geeks,Marius - I hate the word nerd
Higa - only meets pure geeks,Vera - What I like about this field
Higa - only meets pure geeks,Zach - nerd art center
Higa - only meets pure geeks,Damion - ShiftingIdeaOfCoding
Higa - only meets pure geeks,Damion - SmallCommunity
Higa - only meets pure geeks,LIA - helldotcom
Higa - working all night,JTNimoy - I addicted myself
Higa - working all night,Karsten - 256 bytes part 1
Higa - working all night,Maeda - People
Higa - working all night,Maeda - Coding for humanity
Higa - working all night,Intro - Programming
Higa - process of working alone,Maeda - self expression
Higa - process of working alone,Philip - get an idea
Higa - collaboration with machines 1,Andres - soft systems 1
Higa - collaboration with machines 1,Andres - modeling the human being
Higa - collaboration with machines 1,Casey - tangle
Higa - collaboration with machines 1,Casey - Systems theory
Higa - collaboration with machines 1,Casey - emergence
Higa - collaboration with machines 1,Casey - branching off branching
Higa - collaboration with machines 1,Casey - Ideally it goes beyond my imagination
Higa - collaboration with machines 1,Casey - Developing a microworld
Higa - collaboration with machines 1,Casey - You need noise
Higa - collaboration with machines 1,Golan - what's an instrument?
Higa - collaboration with machines 1,JTNimoy - thinking by doing
Higa - collaboration with machines 1,Karolina - system metaphor
Higa - collaboration with machines 1,Karsten - immediate feedback
Higa - collaboration with machines 1,Kyle_CH - coding is 1
Higa - collaboration with machines 1,Marcus - emergence
Higa - collaboration with machines 1,Marcus - Sims
Higa - collaboration with machines 1,Marcus - energy flow_riot
Higa - collaboration with machines 1,Marcus - lego bricks
Higa - collaboration with machines 1,Marius - constraining randomness
Higa - collaboration with machines 1,Nervous_Jesse - organic process
Higa - collaboration with machines 1,Nervous_Jesse - our explorations are random
Higa - collaboration with machines 1,Nervous_Jesse - doing something new with a system
Higa - collaboration with machines 1,Nervous_Jesse - reaction lamp
Higa - collaboration with machines 1,Nervous_Jesse - simulation
Higa - collaboration with machines 1,Nervous_Jessica - Science papers
Higa - collaboration with machines 1,Philip - with programming you can do whatever
Higa - collaboration with machines 1,Philip - toxi's physics
Higa - collaboration with machines 1,Philip - couldn't do this with actual water
Higa - collaboration with machines 1,Ramsey - minecraft 2
Higa - collaboration with machines 1,Ramsey - Conway 1
Higa - collaboration with machines 1,Ramsey - Conway 2
Higa - collaboration with machines 1,Ramsey - Conway 3
Higa - collaboration with machines 1,Ramsey - emergence from simple rules
Higa - collaboration with machines 1,Ramsey - elegant system
Higa - collaboration with machines 1,Shantell - drawing with the computer
Higa - collaboration with machines 1,Shantell - drawing with computers
Higa - collaboration with machines 1,Shiffman - Games
Higa - collaboration with machines 1,Shiffman - programming the universe
Higa - collaboration with machines 1,Shiffman - how far could we get?
Higa - collaboration with machines 1,Shiffman - inexactitude
Higa - collaboration with machines 1,Shiffman - NOC 2
Higa - collaboration with machines 1,Vera - Playing with a system
Higa - collaboration with machines 1,Intro - interactivity1
Higa - collaboration with machines 1,LIA - IdeaToCode
Higa - collaboration with machines 2,Andres - soft systems 1
Higa - collaboration with machines 2,Andres - modeling the human being
Higa - collaboration with machines 2,Casey - tangle
Higa - collaboration with machines 2,Casey - Systems theory
Higa - collaboration with machines 2,Casey - emergence
Higa - collaboration with machines 2,Casey - branching off branching
Higa - collaboration with machines 2,Casey - Ideally it goes beyond my imagination
Higa - collaboration with machines 2,Casey - Developing a microworld
Higa - collaboration with machines 2,Casey - You need noise
Higa - collaboration with machines 2,Golan - what's an instrument?
Higa - collaboration with machines 2,JTNimoy - thinking by doing
Higa - collaboration with machines 2,Karolina - system metaphor
Higa - collaboration with machines 2,Karsten - immediate feedback
Higa - collaboration with machines 2,Kyle_CH - coding is 1
Higa - collaboration with machines 2,Marcus - emergence
Higa - collaboration with machines 2,Marcus - Sims
Higa - collaboration with machines 2,Marcus - energy flow_riot
Higa - collaboration with machines 2,Marcus - lego bricks
Higa - collaboration with machines 2,Marius - constraining randomness
Higa - collaboration with machines 2,Nervous_Jesse - organic process
Higa - collaboration with machines 2,Nervous_Jesse - our explorations are random
Higa - collaboration with machines 2,Nervous_Jesse - doing something new with a system
Higa - collaboration with machines 2,Nervous_Jesse - reaction lamp
Higa - collaboration with machines 2,Nervous_Jesse - simulation
Higa - collaboration with machines 2,Nervous_Jessica - Science papers
Higa - collaboration with machines 2,Philip - with programming you can do whatever
Higa - collaboration with machines 2,Philip - toxi's physics
Higa - collaboration with machines 2,Philip - couldn't do this with actual water
Higa - collaboration with machines 2,Ramsey - minecraft 2
Higa - collaboration with machines 2,Ramsey - Conway 1
Higa - collaboration with machines 2,Ramsey - Conway 2
Higa - collaboration with machines 2,Ramsey - Conway 3
Higa - collaboration with machines 2,Ramsey - emergence from simple rules
Higa - collaboration with machines 2,Ramsey - elegant system
Higa - collaboration with machines 2,Shantell - drawing with the computer
Higa - collaboration with machines 2,Shantell - drawing with computers
Higa - collaboration with machines 2,Shiffman - Games
Higa - collaboration with machines 2,Shiffman - programming the universe
Higa - collaboration with machines 2,Shiffman - how far could we get?
Higa - collaboration with machines 2,Shiffman - inexactitude
Higa - collaboration with machines 2,Shiffman - NOC 2
Higa - collaboration with machines 2,Vera - Playing with a system
Higa - collaboration with machines 2,Intro - interactivity1
Higa - collaboration with machines 2,LIA - IdeaToCode
Higa - sound and video,Bruce - Eno 2
Higa - sound and video,Golan - audiovisual concept
Higa - sound and video,Kyle_CH - Casey Reas Music Visualizations
Higa - sound and video,Marcus - Audiovisual glue
Higa - sound and video,Marcus - electronic music influence
Higa - sound and video,Marius - reach your visual cortex
Higa - sound and video,Philip - audiovisual gigs
Higa - sound and video,Shantell - Live performance,
Higa - sound and video,Shantell - drawing with noise
Higa - sound and video,Elliot - Audiovisuals
Higa - sound and video,Intro - AudioVisualization
Higa - sound and video,LIA - audiovisualization
Higa - simplicity of self made tools,Binx - tool for others
Higa - simplicity of self made tools,Casey - Birth of processing
Higa - simplicity of self made tools,Golan - instruments
Higa - simplicity of self made tools,Greg - engage with research
Higa - simplicity of self made tools,Martin - useful only
Higa - simplicity of self made tools,Patricio - Making tools
Higa - simplicity of self made tools,Philip - its a tool
Higa - simplicity of self made tools,Elliot - ToolmakerArtist2
Higa - simplicity of self made tools,Intro - LogicOfPixels
Higa - simplicity of self made tools,Intro - Toolmaker
Higa - simplicity of self made tools,Joel - Bicycles1
Higa - beautiful-useful-interesting,Bruce - Don't care about design
Higa - understanding pointers,Jen - struggle with programming
Higa - understanding pointers,Martin - verbal programming debate
Higa - understanding pointers,Paola - changes the way you think
Higa - understanding pointers,Paola - code changes your thinking
Higa - understanding pointers,Philip - image is in your brain
Higa - understanding pointers,Ramsey - designing languages
Higa - understanding pointers,Ramsey - language as expression
Higa - understanding pointers,Ramsey - complicated C++
Higa - understanding pointers,Ramsey - C++ built the modern world
Higa - understanding pointers,LIA - Lingo
Higa - sharing accidently 1,Aaron - sharing
Higa - sharing accidently 1,Aaron - exquisite forest
Higa - sharing accidently 1,Andres - examples of the impossible
Higa - sharing accidently 1,Andres - sharing code
Higa - sharing accidently 1,Andres - Reaching higher
Higa - sharing accidently 1,Binx - learning
Higa - sharing accidently 1,Binx - learning with others
Higa - sharing accidently 1,Bruce - creative agglomeration
Higa - sharing accidently 1,Bruce - Wikipedia and Github
Higa - sharing accidently 1,Bruce - Github Tarball
Higa - sharing accidently 1,Casey - Processing open
Higa - sharing accidently 1,Casey - group teaching
Higa - sharing accidently 1,Fernanda - History flow 1
Higa - sharing accidently 1,Golan - Kyle
Higa - sharing accidently 1,Golan - closed source mistake
Higa - sharing accidently 1,Golan - limits to sharing
Higa - sharing accidently 1,Golan - hackathons2
Higa - sharing accidently 1,Jer - Making a tool
Higa - sharing accidently 1,Jer - Desire to get together
Higa - sharing accidently 1,Jer - spoken word
Higa - sharing accidently 1,Jer - Thanks
Higa - sharing accidently 1,Jer - Post-capitalism
Higa - sharing accidently 1,Jer - post-capitalism2
Higa - sharing accidently 1,JTNimoy - open source mensch
Higa - sharing accidently 1,JTNimoy - 100 artists versus One
Higa - sharing accidently 1,JTNimoy - one of us
Higa - sharing accidently 1,JTNimoy - enough cooks
Higa - sharing accidently 1,Julia - open source and ego
Higa - sharing accidently 1,Julia - can't be solitary
Higa - sharing accidently 1,Julia - toward greater generosity 1
Higa - sharing accidently 1,Julian - mixing code
Higa - sharing accidently 1,Karsten - becoming insular
Higa - sharing accidently 1,Kevin - Networked intelligence
Higa - sharing accidently 1,Kyle_CH - new generation
Higa - sharing accidently 1,Lindsay - memes 2
Higa - sharing accidently 1,Maeda - Processing community
Higa - sharing accidently 1,Marcus - economics question
Higa - sharing accidently 1,Paola - generosity
Higa - sharing accidently 1,Paola - sharing
Higa - sharing accidently 1,Paola - code ant farm
Higa - sharing accidently 1,Patricio - Rethinking education systems
Higa - sharing accidently 1,Patricio - Jam session
Higa - sharing accidently 1,Shantell - doingwithothers
Higa - sharing accidently 1,Shiffman - sharing
Higa - sharing accidently 1,Shiffman - Open Source Contract
Higa - sharing accidently 1,Shiffman - problem solving
Higa - sharing accidently 1,Zach - at a festival
Higa - sharing accidently 1,Zach - open source challenge
Higa - sharing accidently 1,Zach - printshop
Higa - sharing accidently 1,Zach - decompiling
Higa - sharing accidently 1,Zach - Open Frameworks 1
Higa - sharing accidently 1,Zach - emailing the communnity
Higa - sharing accidently 1,Chris - EthicOfSharing
Higa - sharing accidently 1,Chris - RemoteCollaboration
Higa - sharing accidently 1,Diederick - worldwillbecomebetter
Higa - sharing accidently 1,Intro - Sharing
Higa - sharing accidently 1,LIA - NeedTheInternet
Higa - sharing accidently 1,LIA - Sandcastles
Higa - sharing accidently 1,LIA - SkepticismAboutOpenSource
Higa - sharing accidently 1,LIA - helldotcom
Higa - sharing accidently 2,Aaron - sharing
Higa - sharing accidently 2,Aaron - exquisite forest
Higa - sharing accidently 2,Andres - examples of the impossible
Higa - sharing accidently 2,Andres - sharing code
Higa - sharing accidently 2,Andres - Reaching higher
Higa - sharing accidently 2,Binx - learning
Higa - sharing accidently 2,Binx - learning with others
Higa - sharing accidently 2,Bruce - creative agglomeration
Higa - sharing accidently 2,Bruce - Wikipedia and Github
Higa - sharing accidently 2,Bruce - Github Tarball
Higa - sharing accidently 2,Casey - Processing open
Higa - sharing accidently 2,Casey - group teaching
Higa - sharing accidently 2,Fernanda - History flow 1
Higa - sharing accidently 2,Golan - Kyle
Higa - sharing accidently 2,Golan - closed source mistake
Higa - sharing accidently 2,Golan - limits to sharing
Higa - sharing accidently 2,Golan - hackathons2
Higa - sharing accidently 2,Jer - Making a tool
Higa - sharing accidently 2,Jer - Desire to get together
Higa - sharing accidently 2,Jer - spoken word
Higa - sharing accidently 2,Jer - Thanks
Higa - sharing accidently 2,Jer - Post-capitalism
Higa - sharing accidently 2,Jer - post-capitalism2
Higa - sharing accidently 2,JTNimoy - open source mensch
Higa - sharing accidently 2,JTNimoy - 100 artists versus One
Higa - sharing accidently 2,JTNimoy - one of us
Higa - sharing accidently 2,JTNimoy - enough cooks
Higa - sharing accidently 2,Julia - open source and ego
Higa - sharing accidently 2,Julia - can't be solitary
Higa - sharing accidently 2,Julia - toward greater generosity 1
Higa - sharing accidently 2,Julian - mixing code
Higa - sharing accidently 2,Karsten - becoming insular
Higa - sharing accidently 2,Kevin - Networked intelligence
Higa - sharing accidently 2,Kyle_CH - new generation
Higa - sharing accidently 2,Lindsay - memes 2
Higa - sharing accidently 2,Maeda - Processing community
Higa - sharing accidently 2,Marcus - economics question
Higa - sharing accidently 2,Paola - generosity
Higa - sharing accidently 2,Paola - sharing
Higa - sharing accidently 2,Paola - code ant farm
Higa - sharing accidently 2,Patricio - Jam session
Higa - sharing accidently 2,Shantell - doingwithothers
Higa - sharing accidently 2,Shiffman - sharing
Higa - sharing accidently 2,Shiffman - Open Source Contract
Higa - sharing accidently 2,Shiffman - problem solving
Higa - sharing accidently 2,Zach - at a festival
Higa - sharing accidently 2,Zach - open source challenge
Higa - sharing accidently 2,Zach - printshop
Higa - sharing accidently 2,Zach - decompiling
Higa - sharing accidently 2,Zach - Open Frameworks 1
Higa - sharing accidently 2,Zach - emailing the communnity
Higa - sharing accidently 2,Chris - EthicOfSharing
Higa - sharing accidently 2,Chris - RemoteCollaboration
Higa - sharing accidently 2,Diederick - worldwillbecomebetter
Higa - sharing accidently 2,Intro - Sharing
Higa - sharing accidently 2,LIA - NeedTheInternet
Higa - sharing accidently 2,LIA - Sandcastles
Higa - sharing accidently 2,LIA - SkepticismAboutOpenSource
Higa - sharing accidently 2,LIA - helldotcom
Javier - behavior change,Bruce - Volition
Javier - behavior change,Bruce - military
Javier - behavior change,Jen - prisons
Javier - behavior change,Jer - Data ownership
Javier - behavior change,JTNimoy - Unplugging
Javier - behavior change,Julia - program or be programmed
Javier - behavior change,Julia - million facebook
