SAME PERSON SUPPRESSION FACTOR,LINK FACTOR,DICHOTOMY WEIGHT,LAST CLIP COMMONALITY MULTIPLIER,TWO CLIPS COMMONALITY MULTIPLIER
8.81773,20,2,9.35961,5
Selected Clip,Current Topic, Potential Next Clip,Total Score,linkScore,topicsInCommonScore,topicsInCommonWithPreviousScore,( - ) samePersonOccurrenceScore,dichotomyWeight,voiceOverScore
 , ,Shiffman - nature of code book,2.36453,20,0,0,-17.6355,0,0
Andres - soft systems 1,emergence
 , ,Marcus - Sims,56.7192,20,18.7192,10,0,8,0
 , ,Ramsey - elegant system,43.6256,20,28.0788,20,-26.4532,2,0
 , ,Vera - Playing with a system,23.7192,0,18.7192,5,0,0,0
 , ,Nervous_Jessica - biocomputer,21.3596,0,9.35961,10,0,2,0
 , ,Jer - fireflies,20.3596,0,9.35961,5,0,6,0
 , ,Marcus - energy flow_riot,19.3596,0,9.35961,10,0,0,0
 , ,Nervous_Jesse - organic process,14.9015,0,18.7192,5,-8.81773,0,0
 , ,Shiffman - NOC 2,14.7241,0,9.35961,15,-17.6355,8,0
 , ,Vera - Digital life forms,14.3596,0,9.35961,5,0,0,0
 , ,Nervous_Jessica - RNA and Viruses,14.3596,0,9.35961,5,0,0,0
 , ,Casey - Systems theory,13.0837,0,18.7192,10,-17.6355,2,0
 , ,Ramsey - Conway 2,9.9064,0,9.35961,25,-26.4532,2,0
 , ,Casey - emergence,9.72414,0,9.35961,10,-17.6355,8,0
 , ,Nervous_Jesse - reaction lamp,9.54187,0,9.35961,5,-8.81773,4,0
 , ,Casey - What is emergence?,3.72414,0,9.35961,10,-17.6355,2,0
 , ,Ramsey - conway,3.5468,20,0,10,-26.4532,0,0
 , ,Shiffman - Games,1.72414,0,9.35961,10,-17.6355,0,0
 , ,Ramsey - New Kind of Science,-2.0936,0,9.35961,15,-26.4532,0,0
